"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cluster"
"Eif2b2",0.552203271281254,0.698422286249702,0.118,0.088,1,"Eif2b2","9"
"Cdc202",0.552337941357259,2.2336480750601,0.029,0.017,1,"Cdc20","9"
"Plk13",0.552658272361683,1.45983004658876,0.029,0.016,1,"Plk1","9"
"4930430F08Rik1",0.552658272361683,1.53909158193442,0.029,0.016,1,"4930430F08Rik","9"
"Polq4",0.552691980220553,1.62750570670143,0.029,0.016,1,"Polq","9"
"Sh2b11",0.552863249567939,0.517724564586221,0.147,0.111,1,"Sh2b1","9"
"Mpp53",0.553038004022292,0.722785257153204,0.088,0.062,1,"Mpp5","9"
"Rasgef1a5",0.5531602370072,1.1828640371604,0,0.01,1,"Rasgef1a","9"
"Csrp23",0.5531602370072,1.15341068989393,0,0.01,1,"Csrp2","9"
"Psmc3ip3",0.5531602370072,1.1677045251423,0,0.01,1,"Psmc3ip","9"
"Mtcp13",0.5531602370072,1.14008968352175,0,0.01,1,"Mtcp1","9"
"Bub14",0.553160237360425,1.21118433551048,0,0.01,1,"Bub1","9"
"Gm107622",0.553160237360425,1.20742141312159,0,0.01,1,"Gm10762","9"
"Tgm23",0.553160237360425,1.14709904132671,0,0.01,1,"Tgm2","9"
"Gm312431",0.553160237360425,1.22943194619752,0,0.01,1,"Gm31243","9"
"Wdr194",0.553160237360425,1.17306443691535,0,0.01,1,"Wdr19","9"
"Chrna93",0.553160237360425,1.09668186177784,0,0.01,1,"Chrna9","9"
"2010109A12Rik3",0.553160237360425,1.20059117298603,0,0.01,1,"2010109A12Rik","9"
"6330418K02Rik1",0.553160237360425,1.20081482565956,0,0.01,1,"6330418K02Rik","9"
"4930599N23Rik3",0.553160237360425,1.1678811288844,0,0.01,1,"4930599N23Rik","9"
"Hpgds5",0.553160237360425,1.22857327190649,0,0.01,1,"Hpgds","9"
"Mypop5",0.553160237360425,1.21544977359275,0,0.01,1,"Mypop","9"
"1700008J07Rik3",0.553160237360425,1.15846904470611,0,0.01,1,"1700008J07Rik","9"
"Tnfrsf234",0.553160237360425,1.15564510898701,0,0.01,1,"Tnfrsf23","9"
"Zfp3584",0.553160237360425,1.25477157021479,0,0.01,1,"Zfp358","9"
"Slc27a13",0.553160237360425,1.19435034374417,0,0.01,1,"Slc27a1","9"
"4930432K21Rik2",0.553160237360425,1.21265068418683,0,0.01,1,"4930432K21Rik","9"
"Gm361983",0.553160237360425,1.18298878216702,0,0.01,1,"Gm36198","9"
"Ccr84",0.553160237360425,1.10861997143986,0,0.01,1,"Ccr8","9"
"9930022D16Rik3",0.553160237360425,1.29167291933318,0,0.01,1,"9930022D16Rik","9"
"Engase5",0.553160237360425,1.16882312833304,0,0.01,1,"Engase","9"
"Gm206822",0.553160237360425,1.18747983717198,0,0.01,1,"Gm20682","9"
"Ighv10-12",0.553160237360425,1.15196284090261,0,0.01,1,"Ighv10-1","9"
"Carmil14",0.553160237360425,1.15183550373275,0,0.01,1,"Carmil1","9"
"Gm268772",0.553160237360425,1.220762695667,0,0.01,1,"Gm26877","9"
"Tgfbi3",0.553160237360425,1.21632478939968,0,0.01,1,"Tgfbi","9"
"Sv2c2",0.553160237360425,1.22534209987035,0,0.01,1,"Sv2c","9"
"Trav14-12",0.553160237360425,1.08721482059427,0,0.01,1,"Trav14-1","9"
"Cldn105",0.553160237360425,1.16037801241915,0,0.01,1,"Cldn10","9"
"Spag6l3",0.553160237360425,1.16767216242707,0,0.01,1,"Spag6l","9"
"4930549P19Rik3",0.553160237360425,1.0490583499205,0,0.01,1,"4930549P19Rik","9"
"Ms4a4a3",0.553160237360425,1.15510615276928,0,0.01,1,"Ms4a4a","9"
"Zfp280c2",0.55419722023806,0.558879856122098,0.118,0.087,1,"Zfp280c","9"
"Dtx44",0.55476866005803,1.71215933106105,0.029,0.017,1,"Dtx4","9"
